hotel_id,room_id,name,amenities
A-77108,RA-33047,Standard Room · City view,Double Bed|120 sq.ft|3 Adults|Minibar|Linens|TV|Towels|Cushions
A-10432,RA-25541,Classic with Twin Bed,2 Adults
A-68084,RA-51927,"Executive lounge access, Guest room, 2 Twin",Twin Bed|366 sq.ft|3 Adults|Tea/coffee maker|Minibar|Duvet|Feather pillow|Air conditioning
A-48995,RA-94174,House,
A-82737,RA-62294,Deluxe Twin,Twin Bed|120 sq.ft|2 Adults|Blanket|Air conditioning|Attached washroom
A-94838,RA-21580,Standard Room · City view,Double Bed|125 sq.ft|3 Adults|Linens|Blanket|TV|Towels|Cushions
A-66974,RA-24006,Standard Room AC · City view,Double Bed|3 Adults|Wardrobe/closet|Blanket|Water bottle|Attached washroom|Clothes rack
A-05827,RA-68031,Superior Twin Room with High Floor · City view,TwinBed|183 sq.ft|2 Adults|Coffee machine|Minibar|Blackout curtains|Wardrobe/closet|TV
A-21496,RA-26403,Standard Room Non AC,Double Bed|120 sq.ft|2 Adults|Blanket|TV|WiFi access|Water bottle|Attached washroom
A-02324,RA-65286,Deluxe Room,
A-67415,RA-66773,Premium Room (AC),FullBed|110 sq.ft|3 Adults|Wardrobe/closet|TV|Private bathroom|Shower|Body soap
A-59461,RA-19981,Executive Non-AC · City view,Double Bed|140 sq.ft|2 Adults|Blackout curtains|Flat-screen TV|Blanket|TV|Towels
A-86365,RA-37351,Deluxe Room,Double Bed|110 sq.ft|2 Adults|Flat-screen TV|Linens|Wardrobe/closet|Wake up service|TV
A-91664,RA-07421,Executive Room,Twin Bed|240 sq.ft|2 Adults|Fridge|Minibar|Blanket|TV|Ironing facilities
A-00396,RA-36245,Standard Room · Garden view,Double Bed|324 sq.ft|3 Adults|Blackout curtains|Blanket|Attached washroom|Fan|Charging points|Trash can
A-33257,RA-31436,Executive Room · City view,Double Bed|3 Adults|Sofa|WiFi access|Water bottle|Clothes rack|Mirror
A-62237,RA-52150,Deluxe with Balcony,Double Bed|97 sq.ft|2 Adults|Air conditioning|Kitchenette|Housekeeping|Attached washroom|Fan|Charging points
A-77213,RA-25913,Luxury Suite · Street View,King Bed|872 sq.ft|3 Adults|Fridge|Minibar|Blackout curtains|Flat-screen TV|Duvet
A-93345,RA-94170,4 Bedroom Apartment,
A-56986,RA-53037,Deluxe Room · City view,300 sq.ft|3 Adults|Blackout curtains|Wardrobe/closet|TV|Toiletries|Private bathroom
A-18005,RA-20786,Standard Non AC Room · City view,Double Bed|150 sq.ft|3 Adults|Blanket|TV|Toiletries|Towels|WiFi access
A-21175,RA-37581,Classic Room,Double Bed|120 sq.ft|2 Adults|Wardrobe/closet|TV|Towels|Fan|Shower
A-39876,RA-81231,"Standard Double Room, City View · City view",QueenBed|140 sq.ft|2 Adults|Toiletries|Hairdryer|Private bathroom|Shower|Smoking policy – non-smoking available
A-68953,RA-65917,Deluxe Room · City view,Double Bed|150 sq.ft|2 Adults|Blanket|TV|WiFi access|Water bottle|Housekeeping
A-26991,RA-50374,Deluxe Double or Twin,2369 sq.ft|2 Guests|Private pool|Tea/coffee maker|Flat-screen TV|Linens|Wardrobe/closet
A-42703,RA-37955,Club Room,Double Bed|180 sq.ft|3 Adults|TV|Desk|Trash can|First aid kit
A-81333,RA-04101,Deluxe Room · City view,Double Bed|196 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|Air conditioning|Toiletries
A-34477,RA-89677,Standard Room · City view,Double Bed|3 Adults|Blanket|Toiletries|Clothes rack|Fan|Mirror
A-24140,RA-28027,Deluxe Balcony,
A-14924,RA-54886,Triple Economy,194 sq.ft|3 Guests|TV|Toiletries|Private bathroom|Fan|Shower
A-80800,RA-17693,Basic Room · City view,Double Bed|140 sq.ft|2 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Attached washroom
A-94101,RA-28040,Deluxe Double Room with Air Conditioning,22 sq.ft|3 Guests|Air conditioning
A-64667,RA-52333,Executive Suite · City view,King Bed|280 sq.ft|3 Adults|Blackout curtains|Flat-screen TV|Duvet|Linens|Wake up service
A-42701,RA-31154,Double Executive,205 sq.ft|2 Guests|Flat-screen TV|Linens|Wardrobe/closet|TV|Ironing facilities
A-26991,RA-37923,Suite,4844 sq.ft|2 Guests|Private pool|Tea/coffee maker|Minibar|Flat-screen TV|Sofa
A-26136,RA-66435,2 BHK Spacious Room with 2 Balconies Kitchen and Washing Area · City view,Double Bed|1000 sq.ft|6 Adults|Sofa|Blanket|TV|Air conditioning|WiFi access
A-60144,RA-92922,Superior Double Room with Balcony · City view,Double Bed|132 sq.ft|2 Adults|Tea/coffee maker|Blackout curtains|Flat-screen TV|Wardrobe/closet|Wake up service
A-32994,RA-41642,"Classic Room, 1 Queen Bed",2 Adults|Wardrobe/closet|Private bathroom|Safe|Smoking policy – non-smoking available|Soundproof
A-47887,RA-50383,Executive Room · Garden view,Double Bed|272 sq.ft|2 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Attached washroom
A-34822,RA-44411,Executive Room,270 sq.ft|2 Guests|Free welcome drink|Tea/coffee maker|Blackout curtains|Flat-screen TV|Linens
A-97856,RA-55025,Classic Triple Room,
A-76324,RA-66837,Deluxe,194 sq.ft|3 Guests|Blackout curtains|Flat-screen TV|Wardrobe/closet|Ironing facilities|Air conditioning
A-46927,RA-28332,Two Bedroom Apartment,
A-34037,RA-43834,Standard Room,216 sq.ft|3 Guests|Linens|Wardrobe/closet|Ironing facilities|Air conditioning|Toiletries
A-64684,RA-64010,PREMIUM CLUB ROOM AC · City view,Double Bed|315 sq.ft|3 Adults|Blanket|TV|WiFi access|Water bottle|Attached washroom
A-08773,RA-22447,Triple Room,
A-33797,RA-75019,Deluxe Room,160 sq.ft|2 Adults|Flat-screen TV|Wardrobe/closet|Blanket|TV|Air conditioning
A-72364,RA-77438,Suite Room with Balcony,453 sq.ft|1 Adult|Fridge|Ironing facilities|Charging points
A-25430,RA-01291,Deluxe Room,Double Bed|180 sq.ft|2 Adults|Flat-screen TV|Wake up service|TV|Air conditioning|Toiletries
A-73263,RA-03107,Deluxe Room,King Bed|250 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|Air conditioning|Toiletries
A-86797,RA-34567,Deluxe Room,
A-11604,RA-88358,Standard Room · City view,Double Bed|3 Adults|Blanket|Water bottle|Attached washroom|Clothes rack|Fan
A-37875,RA-04884,Standard AC · City view,Double Bed|100 sq.ft|2 Adults|Blackout curtains|Blanket|Air conditioning|Attached washroom|Charging points|Trash can
A-21293,RA-27831,Deluxe Room,Queen Bed|150 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-86530,RA-96222,Deluxe A/C Room · City view,Double Bed|180 sq.ft|2 Adults|Fridge|TV|Towels|Fan|Shower
A-31301,RA-29099,Deluxe,Double Bed|145 sq.ft|2 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-48781,RA-37303,Club Room,
A-87391,RA-30972,Premium Room,
A-63269,RA-05030,Family Room,
A-82459,RA-02781,Deluxe Room,1615 sq.ft|2 Guests|Linens|Wardrobe/closet|Ironing facilities|Air conditioning|Dishwasher
A-29011,RA-47967,Deluxe Twin,Twin Bed|120 sq.ft|2 Adults|Wardrobe/closet|Blanket|Toiletries|WiFi access|Water bottle
A-40259,RA-20056,Suite (Garden) · Garden view,961 sq.ft|3 Adults|Coffee machine|Fridge|Minibar|Blackout curtains|Dining area
A-34264,RA-70324,Double Room · City view,Double Bed|120 sq.ft|2 Adults|Minibar|Linens|Blanket|Towels|Cushions
A-74276,RA-68852,Deluxe Room,Double Bed|220 sq.ft|2 Adults|Fridge|Flat-screen TV|TV|Air conditioning|Toiletries
A-18175,RA-36004,2 BHK Private Flat · City view,Double Bed|220 sq.ft|3 Adults|Minibar|Flat-screen TV|Linens|Blanket|TV
A-99580,RA-33694,Premium Executive Room,King Bed|150 sq.ft|3 Adults|Blanket|TV|Air conditioning|WiFi access|Water bottle
A-79072,RA-72750,Classic with View,Double Bed|130 sq.ft|2 Adults|Wardrobe/closet|TV|Air conditioning|Towels|Fan|Shower
A-88149,RA-28585,Suite,
A-06618,RA-49885,Premium Double Room,
A-61576,RA-80815,Deluxe,399 sq.ft|2 Guests|Tea/coffee maker|Flat-screen TV|Wardrobe/closet|Ironing facilities|Air conditioning
A-44302,RA-88714,Family Room,3230 sq.ft|3 Guests
A-63988,RA-47174,Standard Twin,Twin Bed|140 sq.ft|2 Adults|Wardrobe/closet|Blanket|Toiletries|WiFi access|Water bottle
A-51641,RA-44651,Deluxe AC Room · City view,Queen Bed|185 sq.ft|2 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-37212,RA-61605,Executive Non AC Room · City view,Queen Bed|100 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-84481,RA-96261,Deluxe Room,Double Bed|272 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|Ironing facilities|Air conditioning
A-95256,RA-38649,Suite,
A-82852,RA-64535,Standard,2 Guests|Private bathroom|Fan
A-43047,RA-93633,Elite Room,
A-83214,RA-63243,Classic,Double Bed|100 sq.ft|2 Adults|Blanket|Attached washroom|Fan
A-38914,RA-47211,Standard Room · City view,Double Bed|120 sq.ft|2 Adults|Flat-screen TV|Linens|Blanket|TV|Towels
A-36007,RA-50000,Deluxe Room · City view,Double Bed|193 sq.ft|3 Adults|Linens|Blanket|TV|Air conditioning|Toiletries
A-05014,RA-13995,Deluxe Double Room,
A-51452,RA-70615,Deluxe,2 Adults
A-15029,RA-06484,Deluxe Room · City view,Double Bed|220 sq.ft|2 Adults|TV|Air conditioning|Towels|Shower
A-23099,RA-32159,Executive Room · City view,Twin Bed|225 sq.ft|3 Adults|Fridge|Sofa|TV|Air conditioning|Toiletries
A-83693,RA-56222,AZURE Studio Apartment B6,
A-48537,RA-56821,Deluxe Double Room · Balcony,King Bed|140 sq.ft|3 Adults|Flat-screen TV|Duvet|Linens|Wardrobe/closet|Wake up service
A-07948,RA-83649,Premium Room,Double Bed|240 sq.ft|2 Adults|Flat-screen TV|Linens|Wardrobe/closet|Wake up service|Blanket
A-67515,RA-98202,Standard Double Room,
A-63881,RA-69448,Deluxe Room,216 sq.ft|2 Guests|Fridge|Flat-screen TV|Linens|Wardrobe/closet|Air conditioning
A-75666,RA-75038,"Deluxe Room, Air conditioning",
A-69409,RA-09233,Club Double Room,Double Bed|200 sq.ft|2 Adults|Minibar|Sofa|TV|Ironing facilities|Air conditioning
A-17296,RA-93146,Deluxe Room,
A-08414,RA-52175,Standard Twin,Twin Bed|140 sq.ft|2 Adults|Blanket|Toiletries|WiFi access|Water bottle|Housekeeping
A-78980,RA-62540,Premium Double or Twin Room · City view,Twin Bed|250 sq.ft|3 Adults|Sofa|Wardrobe/closet|Blanket|TV|Ironing facilities
A-87389,RA-38890,Deluxe Room · City view,Queen Bed|165 sq.ft|3 Adults|Wardrobe/closet|Blanket|Air conditioning|Toiletries|WiFi access
A-99899,RA-53649,Double Room with Private Bathroom,119 sq.ft|2 Guests|Fridge|Dining table|Linens|Wardrobe/closet|Air conditioning
A-69012,RA-31405,Classic,130 sq.ft|3 Adults|Flat-screen TV|Attached washroom|Fan
A-64934,RA-65744,Classic,Double Bed|100 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-02217,RA-41217,Classic Double or Twin,130 sq.ft|3 Guests|Flat-screen TV|Linens|Wardrobe/closet|TV|Air conditioning
A-47419,RA-88100,Superior King · City view,Queen Bed|230 sq.ft|2 Adults|Blackout curtains|Blanket|Air conditioning|WiFi access|Attached washroom
A-73153,RA-88037,"Deluxe Double Room, Balcony, Courtyard View",
A-36856,RA-08823,Premier Twin · Garden view,Twin Bed|510 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-68238,RA-71510,Classic Triple Room,
A-18030,RA-74314,Standard Room · City view,Double Bed|100 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-49503,RA-65590,Suite · City view,Double Bed|200 sq.ft|3 Adults|Minibar|Dining table|Sofa|Feather pillow|TV
A-42234,RA-20729,Standard Room · City view,Double Bed|120 sq.ft|3 Adults|Linens|Blanket|TV|Towels|Cushions
A-99161,RA-08940,Classic Room,Double Bed|100 sq.ft|2 Adults|Wardrobe/closet|TV|Air conditioning|Towels|Fan
A-38774,RA-23944,Home,16 Guests|TV|Air conditioning|Kitchen|Desk|LAN Internet access
A-04703,RA-96223,Standard Room,151 sq.ft|2 Guests|Tea/coffee maker|Blackout curtains|Flat-screen TV|Linens|Wardrobe/closet
A-11288,RA-58389,Delux Room · City view,King Bed|144 sq.ft|3 Adults|Flat-screen TV|Blanket|TV|Air conditioning|WiFi access
A-21295,RA-78028,EXECUTIVE ROOM KING BED · City view,Double Bed|201 sq.ft|3 Adults|Blanket|TV|Air conditioning|WiFi access|Water bottle
A-22624,RA-26324,Signature Suite King Bed Room · City view,Queen Bed|367 sq.ft|3 Adults|Minibar|Wardrobe/closet|Blanket|TV|Air conditioning
A-70064,RA-67454,Standard Room,1 double bed|183 sq.ft|2 Guests|Flat-screen TV|Linens|TV|Air conditioning|Toiletries
A-84876,RA-70010,"Apartment, Balcony",
A-16623,RA-17619,Deluxe Room with City View · City view,King Bed|400 sq.ft|2 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-89668,RA-02854,Super Deluxe Rooms with Balcony · City view,Double Bed|375 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-82737,RA-66167,Executive Suite Room,Double Bed|150 sq.ft|2 Adults|Blanket|Air conditioning|Attached washroom
A-58551,RA-84603,"Luxury Suite, City View",
A-93482,RA-34929,Premium Executive Room,2 Guests
A-30796,RA-28654,EXECUTIVE TWIN BED · City view,Twin Bed|280 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-83890,RA-42919,Family Room,Double Bed|150 sq.ft|3 Adults|Blanket|Air conditioning|Fan
A-59423,RA-65692,Deluxe Room,
A-10842,RA-08192,Premium Room,Double Bed|200 sq.ft|2 Adults|Flat-screen TV|Linens|Wake up service|TV|Air conditioning
A-96748,RA-29218,Double Room,1938 sq.ft|2 Guests|Flat-screen TV|Dining table|Linens|Wardrobe/closet|Air conditioning
A-13554,RA-96853,Grand Comfort Kalyan Nagar · City view,Double Bed|1900 sq.ft|3 Adults|Blanket|TV|Air conditioning|WiFi access|Water bottle
A-64835,RA-16702,Classic Room,2 Adults|Wardrobe/closet|TV|Towels|Fan|Shower
A-23551,RA-49985,Elite Room · City view,Double Bed|280 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-85477,RA-82028,Deluxe Room,2 Guests|Fan
A-29504,RA-96412,Superior King Room,1 queen bed|216 sq.ft|2 Guests|Flat-screen TV|Linens|Wardrobe/closet|Extra long beds (> 6.5 ft)|Streaming services
A-80887,RA-49579,Classic,Double Bed|100 sq.ft|3 Adults|Flat-screen TV|Fan
A-36063,RA-33980,Classic Triple Room,
A-86917,RA-77568,Family Room,Double Bed|3 Adults|Fridge|TV|Air conditioning|Toiletries|Towels
A-46711,RA-41262,Deluxe Room,Double Bed|220 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-50406,RA-69054,Suite Room · City view,Double Bed|400 sq.ft|3 Adults|Separate living room|Sofa|Wardrobe/closet|Blanket|TV
A-76019,RA-71476,Deluxe Room,Queen Bed|160 sq.ft|2 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-29259,RA-65142,Premium Family Quad · City view,Double Bed|100 sq.ft|4 Adults|Blackout curtains|Blanket|TV|Ironing facilities|Air conditioning
A-99294,RA-44906,Deluxe Room,Double Bed|171 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|Air conditioning|Cushions
A-68607,RA-13279,Classic,Double Bed|130 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-22253,RA-57105,Deluxe Room,Double Bed|120 sq.ft|3 Adults|TV|Air conditioning|Toiletries|Towels|Separate dining area
A-68675,RA-33423,Classic,Double Bed|100 sq.ft|3 Adults|Flat-screen TV|Attached washroom|Fan
A-96560,RA-19769,Economy Room,Queen Bed|115 sq.ft|2 Adults|Flat-screen TV|Linens|Blanket|Air conditioning|Toiletries
A-82544,RA-16044,Executive King Room,400 sq.ft|2 Adults|Coffee machine|Fridge|Minibar|Wardrobe/closet|TV
A-37944,RA-80318,Deluxe Non Ac Room · City view,Double Bed|120 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|TV|Toiletries
A-10733,RA-20229,Suite Twin Room · City view,Twin Bed|450 sq.ft|3 Adults|Blanket|TV|Air conditioning|WiFi access|Water bottle
A-54747,RA-78819,Cottage with Plunge Pool,
A-66401,RA-33914,Deluxe Room AC,Double Bed|3 Adults|Flat-screen TV|Blanket|TV|Air conditioning|WiFi access
A-22138,RA-08520,Standard 1BHK with Balcony · City view,Queen Bed|250 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-16463,RA-25862,Superior Room,
A-66313,RA-75539,Deluxe Double AC · City view,Double Bed|320 sq.ft|3 Adults|Blanket|Air conditioning|Water bottle|Housekeeping|Attached washroom
A-67775,RA-90427,Triple Room,
A-35778,RA-03884,Standard (Non AC) · City view,Double Bed|100 sq.ft|2 Adults|Blackout curtains|Blanket|WiFi access|Attached washroom|Fan
A-03422,RA-93988,"Standard Room, Balcony, City View",
A-94019,RA-56092,Nazaara 201 · City view,Queen Bed|110 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-90595,RA-55689,Premium Room,Double Bed|180 sq.ft|2 Adults|Flat-screen TV|Wake up service|TV|Air conditioning|Toiletries
A-69341,RA-23097,Suite,
A-21496,RA-75792,Superior Deluxe Room Non AC,Double Bed|140 sq.ft|3 Adults|Blanket|TV|WiFi access|Water bottle|Attached washroom
A-23099,RA-90371,Executive Luxury Suite Room · City view,Double Bed|450 sq.ft|2 Adults|Fridge|Sofa|TV|Air conditioning|Non-feather pillow
A-45119,RA-31463,Standard Room · City view,Double Bed|255 sq.ft|3 Adults|Fridge|Minibar|Sofa|Wardrobe/closet|TV
A-84235,RA-73842,"Superior Apartment, 1 Queen Bed with Sofa bed, Kitchenette, Garden View",
A-93482,RA-18569,Executive Room,2 Guests
A-32983,RA-88112,Deluxe Room - CP · City view,Double Bed|360 sq.ft|2 Adults|Wardrobe/closet|Blanket|Water bottle|Attached washroom|Fan
A-04618,RA-28260,Deluxe Room,Queen Bed|300 sq.ft|3 Adults|Flat-screen TV|Duvet|Feather pillow|Wardrobe/closet|Blanket
A-40274,RA-68802,Deluxe Room,
A-75299,RA-88809,Deluxe Room · City view,Double Bed|192 sq.ft|3 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-57188,RA-06462,Deluxe King Room · City view,Double Bed|216 sq.ft|3 Adults|Linens|Wardrobe/closet|Blanket|TV|Air conditioning
A-82544,RA-90022,Executive Twin Room,400 sq.ft|2 Adults|Coffee machine|Fridge|Minibar|Wardrobe/closet|TV
A-66313,RA-29628,Deluxe Single AC · City view,Double Bed|100 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|WiFi access
A-66401,RA-71816,Triple Room AC,Triple Bed|4 Adults|Flat-screen TV|Blanket|TV|Air conditioning|Towels
A-15897,RA-17662,Classic,Double Bed|100 sq.ft|2 Adults|Wardrobe/closet|TV|Towels|Fan|Shower
A-01655,RA-29133,Deluxe Room,Double Bed|120 sq.ft|2 Adults|Blackout curtains|Blanket|Air conditioning|Attached washroom|Fan
A-91580,RA-61369,Deluxe Room,Double Bed|200 sq.ft|3 Adults|Wardrobe/closet|Blanket|Ironing facilities|Air conditioning|Housekeeping
A-44785,RA-17684,Classic,Double Bed|97 sq.ft|2 Adults|Blanket|Air conditioning|Heating|Toiletries|Towels
A-54393,RA-72242,Standard Room · City view,Double Bed|200 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|WiFi access
A-88850,RA-33482,Standard King,Double Bed|2 Adults|Fridge|Blackout curtains|Flat-screen TV|Duvet|Linens
A-94651,RA-31252,Superior Luxury Room · City view,Double Bed|600 sq.ft|3 Adults|Blanket|TV|Air conditioning|WiFi access|Water bottle
A-44147,RA-99323,Classic Triple Room,108 sq.ft|3 Guests|Linens|TV|Air conditioning|Toiletries|Towels
A-54629,RA-18195,Deluxe Room,Double Bed|120 sq.ft|2 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-76784,RA-22687,Classic Room,
A-04142,RA-73979,Standard Non AC Room,Double Bed|100 sq.ft|3 Adults|Blanket|TV|Iron|Toiletries|Towels
A-61735,RA-77405,Deluxe Room,Double Bed|120 sq.ft|2 Adults|Blackout curtains|Linens|Blanket|Non-feather pillow|Attached washroom
A-73893,RA-74689,Twin Bed Room,Double Bed|160 sq.ft|3 Adults|Blanket|Air conditioning|Fan
A-91300,RA-24456,Deluxe Room AC,Double Bed|250 sq.ft|3 Adults|Flat-screen TV|Duvet|Feather pillow|Wardrobe/closet|Blanket
A-88685,RA-09700,Two-Bedroom Apartment,
A-19354,RA-64694,Standard Double Room · City view,Double Bed|200 sq.ft|3 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-97060,RA-52770,Deluxe King Room · City view,Double Bed|360 sq.ft|3 Adults|Air conditioning|Towels|Private bathroom|Fan|Desk
A-31408,RA-51305,DOUBLE DELUXE · City view,Double Bed|180 sq.ft|3 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Attached washroom|Shower
A-28949,RA-94967,Deluxe Room,Double Bed|150 sq.ft|2 Adults|Flat-screen TV|Linens|Wake up service|Blanket|TV
A-92835,RA-30815,Ayati by Snooze Living | Whitefield 010 A/C,
A-57184,RA-68793,Classic Room · City view,Double Bed|168 sq.ft|2 Adults|Sofa|Wardrobe/closet|Blanket|TV|Air conditioning
A-40309,RA-02874,Family Suite AC Room,King Bed|350 sq.ft|4 Adults|Blanket|TV|Air conditioning|Toiletries|WiFi access
A-17318,RA-99189,Standard Queen,Queen Bed|140 sq.ft|2 Adults|Wardrobe/closet|Blanket|Toiletries|WiFi access|Water bottle
A-54610,RA-90095,Twin Room With Balcony · City view,Double Bed|210 sq.ft|3 Adults|TV|Ironing facilities|Air conditioning|WiFi access|Water bottle
A-49773,RA-22134,Superior Room · City view,Double Bed|288 sq.ft|3 Adults|Air conditioning|Water bottle|Attached washroom|Accessible by elevator
A-60574,RA-22685,Classic,Double Bed|100 sq.ft|3 Adults|Flat-screen TV|Air conditioning|Fan
A-97162,RA-52026,Executive Twin · City view,Twin Bed|110 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-63110,RA-67300,Deluxe Double Room,
A-22726,RA-07589,"Premium Room, 2 Twin Beds, Lake View · Lake view",TwinBed|3 Adults|Wine/champagne|Minibar|Blackout curtains|Wardrobe/closet|Hairdryer
A-91664,RA-15164,Deluxe Room,King Bed|240 sq.ft|2 Adults|Fridge|Minibar|Blanket|TV|Ironing facilities
A-64636,RA-03133,"Classic Apartment, City View · City view",KingBed|300 sq.ft|3 Adults|Fridge|Air conditioning|Microwave|Toiletries|Hairdryer
A-35405,RA-24738,Classic,Double Bed|130 sq.ft|3 Adults|Flat-screen TV|Blanket|Attached washroom|Fan
A-45005,RA-74811,Standard AC Room · City view,King Bed|150 sq.ft|3 Adults|Blanket|Air conditioning|Attached washroom|Fan|Desk
A-81308,RA-77962,Club Superior Room with Bathtub · City view,Double Bed|300 sq.ft|3 Adults|Fridge|Blackout curtains|Duvet|Wardrobe/closet|Blanket
A-92339,RA-80414,Deluxe Room,Double Bed|150 sq.ft|3 Adults|Flat-screen TV|Dining area|Sofa|Linens|Wardrobe/closet
A-32094,RA-85606,"Winter Green Premium, Guest room, 2 Twin, City view · City view",Twin Bed|269 sq.ft|3 Adults|Tea/coffee maker|Air conditioning|Water bottle|Geyser|Safe|Cable channels
A-52761,RA-72327,Standard Room · City view,Double Bed|215 sq.ft|3 Adults|Blanket|TV|WiFi access|Water bottle|Attached washroom
A-01233,RA-59826,Private Cottages · City view,Double Bed|250 sq.ft|2 Adults|Blanket|TV|Air conditioning|Water bottle|Housekeeping
A-68555,RA-05805,Superior Queen Suite,Queen Bed|200 sq.ft|2 Adults|Blanket|Air conditioning|Attached washroom|Fan|Accessible by elevator
A-77213,RA-92813,Royal Club King Room · Park View,King Bed|474 sq.ft|3 Adults|Fridge|Minibar|Blackout curtains|Flat-screen TV|Duvet
A-59562,RA-59760,Standard Two-Bedroom Apartment · City view,Double Bed|350 sq.ft|3 Adults|Fridge|Blanket|Air conditioning|Microwave|WiFi access
A-62473,RA-00238,Triple Room with Air Conditioning,
A-50705,RA-20657,Standard Double Room · City view,Double Bed|150 sq.ft|2 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Attached washroom
A-71522,RA-24216,Executive Twin Bed,Twin Bed|200 sq.ft|2 Adults|TV|Towels|Private bathroom|Shower|Desk
A-58076,RA-98734,Standard Twin,Twin Bed|140 sq.ft|2 Adults|Blanket|Toiletries|WiFi access|Water bottle|Housekeeping
A-83662,RA-40901,Classic,Double Bed|130 sq.ft|2 Adults|Blanket|Air conditioning|Attached washroom
A-53567,RA-44515,Studio Suite,5382 sq.ft|2 Guests|Tea/coffee maker|Flat-screen TV|Sofa|Linens|Wardrobe/closet
A-01611,RA-51030,Deluxe Twin - AC Room,Twin Bed|100 sq.ft|2 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-78666,RA-49535,Standard Room · City view,Double Bed|100 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-09919,RA-61525,DELUXE TRIPLE ROOM · City view,Triple Bed|400 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom|Clothes rack|Fan|Charging points
A-88530,RA-77104,Classic,Double Bed|130 sq.ft|2 Adults|Blackout curtains|Wake up service|Non-feather pillow|Attached washroom|Fan
A-85466,RA-64435,Deluxe AC Room · City view,Double Bed|120 sq.ft|2 Adults|Blackout curtains|Blanket|Air conditioning|Attached washroom|Fan|Charging points
A-66313,RA-94406,Deluxe Single Non AC · City view,Double Bed|230 sq.ft|3 Adults|Blanket|TV|Toiletries|WiFi access|Water bottle
A-02886,RA-39521,Executive Suite - 2 Single Beds,951 sq.ft|2 Guests|Tea/coffee maker|Fridge|Minibar|Sofa|Linens
A-53097,RA-36777,Deluxe Double or Twin,151 sq.ft|2 Guests|Tea/coffee maker|Dining table|Linens|Wardrobe/closet|Ironing facilities
A-35449,RA-06124,PREMIER POOLSIDE KING BED,
A-57110,RA-86112,Standard room,King Bed|120 sq.ft|2 Adults|Flat-screen TV|Blanket|Iron|Air conditioning|Heating
A-13113,RA-97146,Deluxe,
A-59879,RA-70038,Deluxe Room,1938 sq.ft|2 Guests|Wardrobe/closet|TV|Air conditioning|Toiletries|Water bottle
A-83748,RA-64194,Executive Twin · City view,Twin Bed|310 sq.ft|2 Adults|Fridge|Flat-screen TV|Linens|Wardrobe/closet|Blanket
A-05130,RA-60882,Suite Room,King Bed|240 sq.ft|2 Adults|Flat-screen TV|Wardrobe/closet|TV|Air conditioning|Toiletries
A-67695,RA-24915,Classic Double or Twin,108 sq.ft|3 Guests|Linens|Wardrobe/closet|Air conditioning|Toiletries|Towels
A-25216,RA-07795,Family Room,
A-18721,RA-18178,Bungalow,646 sq.ft|8 Guests|Fridge|TV|Air conditioning|Towels|Separate dining area
A-06487,RA-10057,Deluxe Double Room with Balcony,Double Bed|116 sq.ft|2 Adults|Tea/coffee maker|Blackout curtains|Flat-screen TV|Linens|Wardrobe/closet
A-36450,RA-45629,Standard Quadruple Room,FullBed|4 Adults|TV|Private bathroom|Shower|Smoking policy – non-smoking available|Housekeeping - daily
A-11534,RA-54664,Ayati by Snooze Living | Whitefield 010 A/C,
